"udid","time","count","avg_duration"
"104003901","1474837200","3","3000"
"104010106","1474837200","1","1627"
"104017103","1474837200","1","220"
"104017224","1474837200","3","1278"
"104020574","1474837200","5","2760"
"104021239","1474837200","1","154"
"104021907","1474837200","2","415"
"104022461","1474837200","1","1735"
"104022595","1474837200","1","19070"
"104022615","1474837200","2","513"
"100108897","1474840800","1","958"
"103974064","1474840800","1","32"
"103981390","1474840800","1","6531"
"104013356","1474840800","2","82"
"104021239","1474840800","1","2377"
"104022015","1474840800","4","611"
"104022615","1474840800","1","817"
"104022617","1474840800","1","399"
"104022627","1474840800","1","18233"
"104022629","1474840800","1","15"
"103981003","1474844400","1","11"
"103981390","1474844400","1","61"
"104004965","1474844400","1","65914"
"104016952","1474844400","1","616"
"104021268","1474844400","2","121"
"104022015","1474844400","6","1516"
"104022473","1474844400","1","6"
"104022509","1474844400","3","366"
"104022546","1474844400","2","769"
"104022554","1474844400","1","803"
"104022617","1474844400","1","63"
"104022633","1474844400","1","37890"
"103996600","1474848000","2","913"
"103998270","1474848000","1","7"
"104011399","1474848000","1","558"
"104022451","1474848000","1","128"
"104022546","1474848000","1","693"
"103978838","1474851600","1","1233"
"104021262","1474851600","1","3"
"104021907","1474851600","1","4"
"104022182","1474851600","1","62"
"104022546","1474851600","3","27"
"104022642","1474851600","1","3204"
"104022644","1474851600","1","24781"
"104022646","1474851600","1","10237"
"104021021","1474855200","1","3"
"103983585","1474855200","1","22"
"103984868","1474855200","3","288"
"104011399","1474855200","2","1326"
"104021801","1474855200","1","4"
"104021907","1474855200","1","9"
"104022090","1474855200","1","817"
"104022551","1474855200","1","94"
"104022648","1474855200","3","38426"
"104022651","1474855200","1","39692"
"104021801","1474858800","1","591"
"104022648","1474858800","1","67"
"104015862","1474858800","1","437"
"104022651","1474858800","2","755"
"104021542","1474862400","1","845"
"104021801","1474862400","3","1543"
"104022110","1474862400","2","243"
"104022662","1474862400","1","1312"
"104020747","1474866000","1","2928"
"104021801","1474866000","4","1266"
"104022110","1474866000","1","176"
"104022661","1474866000","1","21251"
"104022662","1474866000","1","307"
"104022669","1474869600","1","3338"
"104022473","1474873200","1","735"
"104022489","1474873200","1","441"
"104022654","1474873200","1","8336"
"104022669","1474873200","3","3869"
"103988926","1474876800","1","7"
"104019368","1474876800","1","212"
"104021303","1474876800","1","1312"
"104022301","1474876800","1","6"
"104022670","1474876800","2","61722"
"104012689","1474880400","1","647"
"104021303","1474880400","1","897"
"104022648","1474880400","2","70"
"104022669","1474884000","1","3"
"104014099","1474884000","1","2608"
"104021706","1474884000","1","11"
"104022670","1474884000","1","5311"
"103973880","1474887600","3","374"
"103993816","1474887600","2","98"
"104008441","1474887600","6","2468"
"104022554","1474887600","1","313"
"104022669","1474887600","2","327"
